ra,dec,RAdeg_OC,DECdeg_OC,freqc,w50,snr,flux,rms,distance,HImass,code
146.71143,25.94448,146.68074 ,25.93567 ,1396.74735,116,23.6,1.38,1.34,76,9.27,3
146.75537,25.86154,146.76807,25.86195,1412.83011,99,13.3,0.84,2.19,23.9,8.05,3
146.88721,26.31842,146.84494 ,26.35039 ,1349.9639,98,5,0.2,1.29,240.3,9.43,3
146.9751,26.31842,146.99284,26.31926,1349.90287,138,5.5,0.36,1.26,240.5,9.69,3
147.01251,26.66722,147.01208,26.65944,1397.22578,140,6.6,0.59,1.31,74.4,8.88,1
147.39207,25.82472,147.39749,25.81194,1359.99044,145,7.1,0.94,2.03,203.4,9.91,1
147.56836,26.96528,,,1397.6934,95,7.9,0.45,1.57,72.9,8.78,4
147.63428,26.15208,147.67273,26.12624,1366.96219,159,10.1,0.6,1.31,178.3,9.63,3
147.64626,25.78944,147.64249,25.79,1348.3926,427,7,2.11,2.19,246.1,10.4,1
147.65625,26.1313,,,1379.9932,122,11.8,0.45,1.01,132.6,9.26,4
147.87598,25.79938,147.86069,25.81856,1347.73612,67,13.9,0.72,2.19,248.6,9.99,3
147.91992,25.88227,,,1412.34183,82,5.9,0.24,1.92,25.4,7.56,4
147.98584,26.90252,147.98098,26.93529,1397.20511,127,7.1,0.46,1.44,74.5,9.05,3
148.05176,25.96522,148.03939,25.97713,1392.38334,102,10,0.43,2.02,90.5,8.91,3
148.11768,27.06996,148.12378,27.04692,1316.63871,95,20.4,1.68,2.85,369.7,10.7,3
148.13541,26.24139,148.13417,26.23139,1386.98857,144,8.9,0.97,2.36,108.7,9.43,1
148.31543,26.17286,,,1364.58182,128,11.5,0.73,1.06,186.9,9.76,4
148.3374,25.94448,148.31094,25.90797,1364.24613,101,9.6,0.52,1.98,188.1,9.62,3
148.3374,27.06996,,,1316.60819,96,10.9,1.12,3.31,369.8,10.67,4
148.38135,26.485,148.38928,26.45927,1361.56058,142,7.6,0.58,2.43,197.7,9.71,3
148.44727,27.04902,148.46127,27.03359,1332.50785,108,13.1,0.88,2.31,306.7,10.26,3
148.53542,27.07306,148.54707,27.07722,1359.6216,159,5.9,0.8,3.29,204.8,9.84,1
148.86475,26.02747,,,1380.38993,115,7,0.24,1.26,131.3,9.48,4
148.87917,26.44139,148.88792,26.44555,1389.758895,185,6.1,0.75,2.04,98.6,9.23,5
